Node_ID	X(mm)	Y(mm)	Z(mm)
33	-0.002922768	-0.003841825	0.049740000
34	-0.001901250	-0.003395911	0.049740000
35	-0.000832537	-0.002856333	0.049740000
36	0.000274064	-0.002225670	0.049740000
37	0.001409656	-0.001507375	0.049740000
38	0.002565780	-0.000705745	0.049740000
39	0.003734460	0.000174125	0.049740000
40	0.004908239	0.001126467	0.049740000
41	0.006080155	0.002145134	0.049740000
42	0.007243601	0.003224160	0.049740000
43	0.008392008	0.004358747	0.049740000
44	0.009518294	0.005546798	0.049740000
45	0.010585086	0.006771263	0.049740000
1	0.010850850	0.006434546	0.052125455
2	0.009402582	0.005796454	0.052125455
3	0.007977199	0.005133936	0.052125455
4	0.006571548	0.004469831	0.052125455
5	0.005187141	0.003818091	0.052125455
6	0.003828998	0.003185756	0.052125455
7	0.002504030	0.002575807	0.052125455
8	0.001219985	0.001989062	0.052125455
9	-0.000015156	0.001425294	0.052125455
10	-0.001193495	0.000883843	0.052125455
11	-0.002307369	0.000363914	0.052125455
12	-0.003349400	-0.000135299	0.052125455
13	-0.004312483	-0.000614568	0.052125455
14	-0.005189730	-0.001074628	0.052125455
15	-0.005974340	-0.001516188	0.052125455
16	-0.006659370	-0.001939913	0.052125455
17	-0.007237302	-0.002346300	0.052125455
18	-0.007699314	-0.002735135	0.052125455
19	-0.008034459	-0.003103466	0.052125455
20	-0.008231150	-0.003439452	0.052125455
21	-0.008296172	-0.003710868	0.052125455
22	-0.008285793	-0.003878842	0.052125455
23	-0.008272465	-0.003933570	0.052125455
24	-0.008253271	-0.003988924	0.052125455
25	-0.008165496	-0.004140258	0.052125455
26	-0.007945590	-0.004329175	0.052125455
27	-0.007570065	-0.004480472	0.052125455
28	-0.007060988	-0.004576665	0.052125455
29	-0.006433735	-0.004606518	0.052125455
30	-0.005700902	-0.004554637	0.052125455
31	-0.004875309	-0.004413194	0.052125455
32	-0.003968865	-0.004178685	0.052125455
33	-0.002992532	-0.003850019	0.052125455
34	-0.001956557	-0.003427597	0.052125455
35	-0.000870661	-0.002912908	0.052125455
36	0.000255850	-0.002308359	0.052125455
37	0.001414051	-0.001617224	0.052125455
38	0.002595424	-0.000843608	0.052125455
39	0.003791888	0.000007599	0.052125455
40	0.004995841	0.000930848	0.052125455
41	0.006200125	0.001920231	0.052125455
42	0.007397895	0.002970053	0.052125455
43	0.008582302	0.004075835	0.052125455
44	0.009745967	0.005235882	0.052125455
45	0.010850850	0.006434546	0.052125455
1	0.011083063	0.006112835	0.054510909
2	0.009616543	0.005506267	0.054510909
3	0.008172323	0.004874763	0.054510909
4	0.006747811	0.004241238	0.054510909
5	0.005344874	0.003619611	0.054510909
6	0.003968714	0.003016825	0.054510909
7	0.002626318	0.002435738	0.054510909
8	0.001325456	0.001877034	0.054510909
9	0.000074106	0.001340353	0.054510909
10	-0.001119854	0.000824906	0.054510909
11	-0.002248786	0.000329770	0.054510909
12	-0.003305339	-0.000145982	0.054510909
13	-0.004282444	-0.000603239	0.054510909
14	-0.005173256	-0.001042855	0.054510909
15	-0.005971029	-0.001465662	0.054510909
16	-0.006668894	-0.001872472	0.054510909
17	-0.007259429	-0.002263975	0.054510909
18	-0.007733904	-0.002640286	0.054510909
19	-0.008081244	-0.002999123	0.054510909
20	-0.008288477	-0.003330005	0.054510909
21	-0.008361721	-0.003600146	0.054510909
22	-0.008356430	-0.003768838	0.054510909
23	-0.008344755	-0.003824106	0.054510909
24	-0.008327225	-0.003880173	0.054510909
25	-0.008243854	-0.004034505	0.054510909
26	-0.008028711	-0.004229926	0.054510909
27	-0.007655686	-0.004389900	0.054510909
28	-0.007147096	-0.004495655	0.054510909
29	-0.006518844	-0.004537569	0.054510909
30	-0.005783158	-0.004500132	0.054510909
31	-0.004952623	-0.004375294	0.054510909
32	-0.004039003	-0.004159343	0.054510909
33	-0.003053169	-0.003851009	0.054510909
34	-0.002005305	-0.003450537	0.054510909
35	-0.000905089	-0.002959271	0.054510909
36	0.000238200	-0.002379480	0.054510909
37	0.001415644	-0.001714292	0.054510909
38	0.002618701	-0.000967656	0.054510909
39	0.003839237	-0.000144293	0.054510909
40	0.005069546	0.000750448	0.054510909
41	0.006302318	0.001710890	0.054510909
42	0.007530499	0.002731615	0.054510909
43	0.008746973	0.003808496	0.054510909
44	0.009944042	0.004940299	0.054510909
45	0.011083063	0.006112835	0.054510909
1	0.011281704	0.005806152	0.056896364
2	0.009799647	0.005229384	0.056896364
3	0.008339329	0.004627256	0.056896364
4	0.006898697	0.004022681	0.056896364
5	0.005479955	0.003429497	0.056896364
6	0.004088471	0.002854535	0.056896364
7	0.002731296	0.002300540	0.056896364
8	0.001416209	0.001768087	0.056896364
9	0.000151168	0.001256715	0.056896364
10	-0.001055979	0.000765539	0.056896364
11	-0.002197630	0.000293547	0.056896364
12	-0.003266476	-0.000160276	0.056896364
13	-0.004255491	-0.000596905	0.056896364
14	-0.005157882	-0.001017285	0.056896364
15	-0.005966966	-0.001422353	0.056896364
16	-0.006675949	-0.001813054	0.056896364
17	-0.007277492	-0.002190289	0.056896364
18	-0.007762912	-0.002554544	0.056896364
19	-0.008120890	-0.002904300	0.056896364
20	-0.008337302	-0.003230232	0.056896364
21	-0.008417192	-0.003499082	0.056896364
22	-0.008415443	-0.003668199	0.056896364
23	-0.008404813	-0.003723800	0.056896364
24	-0.008388298	-0.003780266	0.056896364
